OBJECTID,ACCIDENTNUM,ACCIDENTDATE,LOCATION,ACCIDENT_LOCATION,IMPACT_LOCATION,ENVIRONMENT_CONDITION,LIGHT,COLLISION_TYPE,TRAFFICCOLLISIONSID
11018,15-272660,20151222,FAIRWAY RD S btwn WABANAKI DR & WILSON AVE,04-At/near private drive,02-Thru lane,01-Clear,01-Daylight,MIDBLOCK,
11019,15-274193,20151224,FAIRWAY RD S btwn WABANAKI DR & WILSON AVE,04-At/near private drive,02-Thru lane,01-Clear,01-Daylight,MIDBLOCK,
11020,16-009193,20160113,RIVERBEND DR btwn SHIRLEY AVE & GUELPH ST,04-At/near private drive,02-Thru lane,01-Clear,05-Dusk,MIDBLOCK,
11021,15-240050,20151108,PEACHWOOD CRT btwn PEACHWOOD AVE & CUL DE SAC,01-Non intersection,09-Right shoulder,01-Clear,"08-Dark, artificial",MIDBLOCK,
11022,15-254619,20151127,PATRICIA AVE btwn SPADINA RD W & HIGHLAND RD W,04-At/near private drive,02-Thru lane,99-Other,01-Daylight,MIDBLOCK,
11023,15-259649,20151130,CAPRICE CRT btwn MONTE CARLO ST & CUL DE SAC,04-At/near private drive,02-Thru lane,01-Clear,"08-Dark, artificial",MIDBLOCK,
11024,16-004486,20160106,FENWICK CRT btwn LYNNHAVEN CRT & CUL DE SAC,01-Non intersection,09-Right shoulder,01-Clear,"08-Dark, artificial",MIDBLOCK,
11025,15-277936,20151230,QUEENS BLVD btwn QUEENS BLVD & PLEASANT AVE,04-At/near private drive,02-Thru lane,01-Clear,01-Daylight,MIDBLOCK,
11026,15-259208,20151203,PARKVALE DR btwn WOODBINE AVE & PARKVALE CRT,04-At/near private drive,02-Thru lane,99-Other,01-Daylight,MIDBLOCK,
11027,15-276138,20151219,MAITLAND ST btwn ROCHEFORT ST & PARKVALE DR,04-At/near private drive,02-Thru lane,01-Clear,07-Dark,MIDBLOCK,
11028,15-270902,20151219,CEDAR CREST ST btwn SUGAR MAPLE ST & YELLOW BIRCH DR,04-At/near private drive,02-Thru lane,01-Clear,01-Daylight,MIDBLOCK,
11029,15-247590,20151114,YORK ST btwn MT HOPE ST & UNION BLVD,01-Non intersection,02-Thru lane,01-Clear,"08-Dark, artificial",MIDBLOCK,
11030,15-158450,20150726,WOODHAVEN RD btwn MAYWOOD RD & REYBURN AVE,01-Non intersection,09-Right shoulder,01-Clear,01-Daylight,MIDBLOCK,
11031,15-217076,20151009,WINDFLOWER DR btwn WINDFLOWER CRES & FOXGLOVE CRES,01-Non intersection,02-Thru lane,01-Clear,01-Daylight,MIDBLOCK,
11032,14-260317,20141114,WINDFLOWER DR btwn FOXGLOVE CRES & WAKE ROBIN DR,99-Other,12-Off highway,01-Clear,01-Daylight,MIDBLOCK,
11033,15-242355,20151111,WILSON AVE btwn WEBSTER RD & GOODRICH DR,01-Non intersection,02-Thru lane,01-Clear,01-Daylight,MIDBLOCK,
11034,15-212144,20150924,WILSON AVE btwn NINTH AVE & WOODHAVEN RD,04-At/near private drive,02-Thru lane,01-Clear,01-Daylight,MIDBLOCK,
11035,15-216108,20151006,WILSON AVE btwn NINTH AVE & WOODHAVEN RD,04-At/near private drive,02-Thru lane,01-Clear,01-Daylight,MIDBLOCK,
11036,15-220263,20151013,WILSON AVE btwn KINGSWAY DR & FAIRWAY RD S,04-At/near private drive,02-Thru lane,02-Rain,"08-Dark, artificial",MIDBLOCK,
11037,15-225457,20151020,WILSON AVE btwn FAIRWAY RD S & WEBSTER RD,04-At/near private drive,04-Right turn lane,01-Clear,01-Daylight,MIDBLOCK,
11038,15-233005,20151030,VANIER DR btwn SHELLEY DR & SIEBERT AVE,01-Non intersection,02-Thru lane,01-Clear,01-Daylight,MIDBLOCK,
11039,15-233634,20151030,WILSON AVE btwn FAIRWAY RD S & WEBSTER RD,01-Non intersection,03-Left turn lane,01-Clear,07-Dark,MIDBLOCK,
11040,15-236492,20151103,WILSON AVE btwn FAIRWAY RD S & WEBSTER RD,04-At/near private drive,02-Thru lane,01-Clear,07-Dark,MIDBLOCK,
11041,15-231447,20151028,WATERLOO ST btwn GUELPH ST & PELTZ AVE,01-Non intersection,02-Thru lane,02-Rain,07-Dark,MIDBLOCK,
11042,15-210816,20151001,WATERCRESS CRT btwn WILDERNESS DR & END,04-At/near private drive,10-Not on roadway - left side,01-Clear,01-Daylight,MIDBLOCK,
11043,15-235193,20151101,THALER AVE btwn KINZIE AVE & FAIRWAY RD N,04-At/near private drive,02-Thru lane,01-Clear,01-Daylight,MIDBLOCK,
11044,15-210989,20151001,WILDERNESS DR btwn PINE MARTIN CRES & PINE MARTIN CRES,01-Non intersection,09-Right shoulder,01-Clear,07-Dark,MIDBLOCK,
11045,15-248118,20151118,WABANAKI DR btwn WILSON AVE & GOODRICH DR,01-Non intersection,02-Thru lane,01-Clear,07-Dark,MIDBLOCK,
11046,15-246275,20151115,TEMPLEWOOD DR btwn STRASBURG RD & RUSH MEADOW ST,01-Non intersection,02-Thru lane,01-Clear,01-Daylight,MIDBLOCK,
11047,15-243827,20151113,STIRLING AVE S btwn MAUSSER AVE & HOMER WATSON BLVD,01-Non intersection,02-Thru lane,02-Rain,01-Daylight,MIDBLOCK,
11048,14-262343,20141117,TEMPLEWOOD DR btwn MARL MEADOW DR & MARIANNE DORN TRAIL,99-Other,12-Off highway,03-Snow,01-Daylight,MIDBLOCK,
11049,14-178780,20140808,TAMVALE CRES btwn ERINBROOK DR & ERINBROOK DR,99-Other,12-Off highway,01-Clear,01-Daylight,MIDBLOCK,
11050,15-222519,20151016,STRASBURG RD btwn BLOCK LINE RD & OLD COUNTRY DR,04-At/near private drive,04-Right turn lane,01-Clear,01-Daylight,MIDBLOCK,
11051,15-225944,20151021,STRASBURG RD btwn BATTLER RD & HURON RD,04-At/near private drive,02-Thru lane,01-Clear,01-Daylight,MIDBLOCK,
11052,15-148583,20150713,WELLINGTON ST N btwn SPRING VALLEY RD & CIRCA DR,04-At/near private drive,02-Thru lane,01-Clear,01-Daylight,MIDBLOCK,
11053,15-238895,20151106,PINEDALE DR btwn HILLSBOROUGH CRES & WILLIAMSBURG RD,04-At/near private drive,02-Thru lane,02-Rain,07-Dark,MIDBLOCK,
11054,15-206554,20150926,PENELOPE DR btwn IRA NEEDLES BLVD & CORA DR,04-At/near private drive,02-Thru lane,01-Clear,01-Daylight,MIDBLOCK,
11055,15-219962,20151007,MCGEE AVE btwn INDIAN RD & OTTAWA ST N,04-At/near private drive,02-Thru lane,01-Clear,01-Daylight,MIDBLOCK,
11056,15-235889,20151103,MARY ST btwn PINE ST & WATERLOO BOUNDARY,04-At/near private drive,02-Thru lane,01-Clear,07-Dark,MIDBLOCK,
11057,15-247810,20151118,HOMER WATSON BLVD btwn STIRLING AVE S & HOFFMAN ST,01-Non intersection,02-Thru lane,01-Clear,01-Daylight,MIDBLOCK,
11058,15-240688,20151107,HOFFMAN ST btwn OLYMPIC DR & MEINZINGER AVE,04-At/near private drive,02-Thru lane,01-Clear,99-Other,MIDBLOCK,
11059,15-233908,20151031,FREDERICK ST btwn ETHEL ST & LOIS ST,01-Non intersection,02-Thru lane,01-Clear,01-Daylight,MIDBLOCK,
11060,15-249578,20151120,EAST AVE btwn STIRLING AVE N & BORDEN AVE N,04-At/near private drive,02-Thru lane,01-Clear,01-Daylight,MIDBLOCK,
11061,15-222503,20151016,DOON VILLAGE RD btwn HOMER WATSON BLVD & MILLWOOD CRES,04-At/near private drive,04-Right turn lane,02-Rain,01-Daylight,MIDBLOCK,
11062,15-231041,20151027,DOON VALLEY DR btwn OLD MILL RD & END,01-Non intersection,04-Right turn lane,01-Clear,01-Daylight,MIDBLOCK,
11063,15-230535,20151027,DIXON ST btwn CARLIN AVE & CARWOOD AVE,01-Non intersection,02-Thru lane,01-Clear,01-Daylight,MIDBLOCK,
11064,15-237216,20151104,DEERWOOD CRES btwn ROYAL ORCHARD DR & ROYAL ORCHARD DR,04-At/near private drive,02-Thru lane,01-Clear,01-Daylight,MIDBLOCK,
11065,15-241020,20151108,DEER RIDGE DR btwn MASTER CRT & FALL HARVEST DR,04-At/near private drive,02-Thru lane,01-Clear,01-Daylight,MIDBLOCK,
11066,15-164683,20150803,DAIMLER DR btwn IDLE CREEK DR & BRIARMEADOW PL,04-At/near private drive,02-Thru lane,01-Clear,01-Daylight,MIDBLOCK,
11067,15-224254,20151018,BLOCK LINE RD btwn RITTENHOUSE RD & STRASBURG RD,01-Non intersection,02-Thru lane,01-Clear,"08-Dark, artificial",MIDBLOCK,
11068,15-234628,20151031,CONNELLY DR btwn WESTHEIGHTS DR & ROLLING MEADOWS DR,04-At/near private drive,02-Thru lane,02-Rain,"08-Dark, artificial",MIDBLOCK,
11069,15-180604,20150824,CLARK AVE btwn SIEBERT AVE & SIEBERT AVE,04-At/near private drive,09-Right shoulder,01-Clear,"06-Dusk, artificial",MIDBLOCK,
11070,15-223915,20151017,CHURCH ST btwn PETER ST & EBY ST S,04-At/near private drive,02-Thru lane,01-Clear,01-Daylight,MIDBLOCK,
11071,14-144996,20140628,DOON RD btwn CARWOOD CRES & CORNELL AVE,99-Other,12-Off highway,01-Clear,01-Daylight,MIDBLOCK,
11072,15-250829,20151121,CENTURY HILL DR btwn DEVONGLEN DR & SOUTHWOOD DR,01-Non intersection,02-Thru lane,03-Snow,07-Dark,MIDBLOCK,
11073,14-198202,20140901,DEER RIDGE DR btwn LANTERN ST & FALL HARVEST DR,99-Other,12-Off highway,01-Clear,01-Daylight,MIDBLOCK,
11074,14-258468,20141111,CARWOOD AVE btwn CARWOOD AVE & DIXON ST,99-Other,12-Off highway,01-Clear,05-Dusk,MIDBLOCK,
11075,15-229043,20151025,CARNABY CRES btwn HOLBORN DR & CARNABY PL,04-At/near private drive,02-Thru lane,02-Rain,01-Daylight,MIDBLOCK,
11076,15-228634,20151024,BLOCK LINE RD btwn RITTENHOUSE RD & STRASBURG RD,04-At/near private drive,02-Thru lane,02-Rain,"08-Dark, artificial",MIDBLOCK,
11077,15-148622,20150711,BRUCE ST btwn ROSEMOUNT DR & FIFE AVE,04-At/near private drive,02-Thru lane,01-Clear,01-Daylight,MIDBLOCK,
11078,15-249428,20151120,BRUBACHER ST btwn LANCASTER ST E & SAMUEL ST,01-Non intersection,02-Thru lane,01-Clear,01-Daylight,MIDBLOCK,
11079,15-207723,20150927,BROOKFIELD CRES btwn RITTENHOUSE RD & RITTENHOUSE RD,01-Non intersection,02-Thru lane,01-Clear,01-Daylight,MIDBLOCK,
11080,14-167738,20140725,BREITHAUPT ST btwn DUKE ST W & WEBER ST W,99-Other,12-Off highway,01-Clear,01-Daylight,MIDBLOCK,
11081,15-225214,20151020,BRADLEY DR btwn ASKIN PL & MIDLAND DR,01-Non intersection,02-Thru lane,01-Clear,01-Daylight,MIDBLOCK,
11082,15-230370,20151027,BIEHN DR btwn OLD HURON RD & CARLYLE DR,01-Non intersection,02-Thru lane,01-Clear,01-Daylight,MIDBLOCK,
11083,15-205049,20150924,BIEHN DR btwn OLD HURON RD & CARLYLE DR,01-Non intersection,02-Thru lane,01-Clear,01-Daylight,MIDBLOCK,
11084,15-239106,20151106,BELMONT AVE W btwn KARN ST & GAGE AVE,04-At/near private drive,02-Thru lane,02-Rain,"08-Dark, artificial",MIDBLOCK,
11085,15-250619,20151122,BELMONT AVE W btwn GAGE AVE & GLASGOW ST,01-Non intersection,12-Off highway,01-Clear,"08-Dark, artificial",MIDBLOCK,
11086,15-224070,20151018,BRYBECK CRES btwn KARN ST & WESTMOUNT RD W,04-At/near private drive,02-Thru lane,01-Clear,01-Daylight,MIDBLOCK,
11087,15-202520,20150921,BEDFORD RD btwn BORDEN AVE S & OTTAWA ST S,04-At/near private drive,02-Thru lane,01-Clear,01-Daylight,MIDBLOCK,
11088,15-245172,20151114,BRECKENRIDGE DR btwn GIBSON DR & OTTAWA ST N,04-At/near private drive,09-Right shoulder,01-Clear,07-Dark,MIDBLOCK,
11089,15-174152,20150815,BANKSIDE DR btwn BANKSIDE CRES & WESTFOREST TRAIL,04-At/near private drive,02-Thru lane,01-Clear,01-Daylight,MIDBLOCK,
11090,14-032747,20140212,AUTUMN HILL CRES btwn CRICKET HOLLOW & BLUE SPRUCE CRT,99-Other,12-Off highway,01-Clear,01-Daylight,MIDBLOCK,
11091,14-159248,20140715,BELMONT AVE W btwn GAGE AVE & GLASGOW ST,99-Other,12-Off highway,01-Clear,01-Daylight,MIDBLOCK,
11092,15-149977,20150715,ACTIVA AVE btwn WILDERNESS DR & COPPER LEAF ST,04-At/near private drive,02-Thru lane,01-Clear,01-Daylight,MIDBLOCK,
11093,15-154805,20150721,SCOTT ST btwn KING ST E & MARKET LANE,04-At/near private drive,02-Thru lane,01-Clear,01-Daylight,MIDBLOCK,
11094,15-221643,20151015,PARK ST btwn CHERRY ST & STEWART ST,01-Non intersection,02-Thru lane,01-Clear,01-Daylight,MIDBLOCK,
11095,15-246836,20151113,PANDORA AVE N btwn PANDORA AVE S & DUKE ST E,04-At/near private drive,02-Thru lane,02-Rain,07-Dark,MIDBLOCK,
11096,15-202675,20150921,OVERLEA DR btwn WESTMOUNT RD W & CECILE DR,01-Non intersection,02-Thru lane,01-Clear,01-Daylight,MIDBLOCK,
11097,15-232348,20151029,OTTERBEIN RD btwn BRANDY CRES & END,01-Non intersection,10-Not on roadway - left side,01-Clear,01-Daylight,MIDBLOCK,
11098,15-179468,20150823,LUCERNE DR btwn KINGSWOOD DR & SELKIRK DR,04-At/near private drive,02-Thru lane,01-Clear,07-Dark,MIDBLOCK,
11099,15-251750,20151123,LOWER CANADA CRES btwn UPPER CANADA DR & UPPER CANADA DR,04-At/near private drive,02-Thru lane,01-Clear,01-Daylight,MIDBLOCK,
11100,15-230346,20151027,HIGHLAND RD E btwn RUBY ST & SPADINA RD E,04-At/near private drive,03-Left turn lane,01-Clear,01-Daylight,MIDBLOCK,
11101,15-010996,20150116,HIGHLAND RD E btwn MAUSSER AVE & HEIMAN ST,99-Other,12-Off highway,03-Snow,"08-Dark, artificial",MIDBLOCK,
11102,15-211210,20151002,HIGHLAND RD E btwn HEIMAN ST & HOFFMAN ST,01-Non intersection,02-Thru lane,01-Clear,01-Daylight,MIDBLOCK,
11103,15-252581,20151124,GUELPH ST btwn WATERLOO ST & WEBER ST W,04-At/near private drive,02-Thru lane,01-Clear,01-Daylight,MIDBLOCK,
11104,15-210047,20150930,RIVER RD E btwn SCENIC DR & MORGAN AVE,04-At/near private drive,02-Thru lane,01-Clear,01-Daylight,MIDBLOCK,
11105,15-201049,20150919,OTTAWA ST N btwn CROSBY DR & RIVER RD E,04-At/near private drive,03-Left turn lane,02-Rain,01-Daylight,MIDBLOCK,
11106,15-231714,20151029,OTONABEE DR btwn BLEAMS RD & SASAGA DR,04-At/near private drive,02-Thru lane,01-Clear,01-Daylight,MIDBLOCK,
11107,15-260084,20151204,OPRINGTON DR btwn VICTORIA ST S & BENESFORT DR,01-Non intersection,02-Thru lane,01-Clear,07-Dark,MIDBLOCK,
11108,15-242367,20151104,OPRINGTON DR btwn BENESFORT DR & OPRINGTON CRT,04-At/near private drive,02-Thru lane,01-Clear,01-Daylight,MIDBLOCK,
11109,15-237128,20151103,OBERMEYER DR btwn FERGUS AVE & KINZIE AVE,04-At/near private drive,02-Thru lane,01-Clear,03-Dawn,MIDBLOCK,
11110,15-038263,20150221,KING ST W btwn WATER ST S & FRANCIS ST N,01-Non intersection,09-Right shoulder,01-Clear,07-Dark,MIDBLOCK,
11111,15-124631,20150612,KING ST E btwn EBY ST S & CEDAR ST S,01-Non intersection,02-Thru lane,02-Rain,01-Daylight,MIDBLOCK,
11112,15-223871,20151018,REYBURN AVE btwn WOODHAVEN RD & TRAYNOR AVE,04-At/near private drive,02-Thru lane,01-Clear,01-Daylight,MIDBLOCK,
11113,15-180147,20150824,QUEENS BLVD btwn BELMONT AVE E & BLUERIDGE AVE,01-Non intersection,02-Thru lane,01-Clear,01-Daylight,MIDBLOCK,
11114,15-222581,20151016,MORRISON RD btwn QUINTE CRES & SIMS ESTATE DR,99-Other,99-Other,01-Clear,05-Dusk,MIDBLOCK,
11115,15-267199,20151214,MORRISON RD btwn QUINTE CRES & GRAND RIVER BLVD,01-Non intersection,08-Left shoulder,"07-Fog, mist, smoke, dust","08-Dark, artificial",MIDBLOCK,
11116,15-240127,20151108,KING ST E btwn EBY ST S & CEDAR ST S,01-Non intersection,09-Right shoulder,01-Clear,01-Daylight,MIDBLOCK,
11117,15-187314,20150902,KING ST E btwn BETZNER AVE S & PANDORA AVE N,01-Non intersection,02-Thru lane,01-Clear,01-Daylight,MIDBLOCK,
11118,15-237066,20151103,KEEWATIN AVE btwn NIPIGON ST & GEORGIAN ST,04-At/near private drive,02-Thru lane,01-Clear,01-Daylight,MIDBLOCK,
11119,15-182132,20150826,GREEN VALLEY DR btwn MILL PARK DR & PIONEER DR,01-Non intersection,02-Thru lane,01-Clear,05-Dusk,MIDBLOCK,
11120,15-153146,20150719,DRIFTWOOD DR btwn WESTHEIGHTS DR & ROYAL ORCHARD DR,04-At/near private drive,11-Not on roadway - right side,01-Clear,07-Dark,MIDBLOCK,
11121,15-155369,20150722,QUEENS BLVD btwn BELMONT AVE E & BLUERIDGE AVE,01-Non intersection,02-Thru lane,01-Clear,01-Daylight,MIDBLOCK,
11122,15-051004,20150310,KING ST E btwn STIRLING AVE N & DANE ST,04-At/near private drive,02-Thru lane,01-Clear,01-Daylight,MIDBLOCK,
11123,15-047194,20150305,KING ST E btwn PANDORA AVE N & FAIRVIEW AVE,04-At/near private drive,03-Left turn lane,01-Clear,01-Daylight,MIDBLOCK,
11124,15-170636,20150811,DONNENWERTH DR btwn COPPER LEAF CRES & END,01-Non intersection,09-Right shoulder,01-Clear,01-Daylight,MIDBLOCK,
11125,15-124473,20150612,CARSON DR btwn LICHTY CRES & CHAMPLAIN CRES,04-At/near private drive,02-Thru lane,02-Rain,01-Daylight,MIDBLOCK,
11126,15-110854,20150526,BURBANK RD btwn DEERFIELD AVE & LYNDHURST DR,04-At/near private drive,02-Thru lane,01-Clear,01-Daylight,MIDBLOCK,
11127,15-046163,20150303,BRUCE ST btwn ROSEMOUNT DR & FIFE AVE,04-At/near private drive,02-Thru lane,04-Freezing Rain,01-Daylight,MIDBLOCK,
11128,15-029598,20150209,HIGHLAND RD E btwn MAUSSER AVE & HEIMAN ST,04-At/near private drive,02-Thru lane,01-Clear,01-Daylight,MIDBLOCK,
11129,15-155520,20150722,PETER ST btwn ST GEORGE ST & COURTLAND AVE E,04-At/near private drive,09-Right shoulder,01-Clear,01-Daylight,MIDBLOCK,
11130,15-147245,20150711,DAVID ST btwn JOSEPH ST & COURTLAND AVE W,01-Non intersection,02-Thru lane,01-Clear,01-Daylight,MIDBLOCK,
11131,15-151463,20150717,PARK ST btwn VICTORIA ST S & CHERRY ST,07-Overpass or bridge,99-Other,01-Clear,"08-Dark, artificial",MIDBLOCK,
11132,15-144877,20150708,PARK ST btwn GILDNER ST & WOOD ST,04-At/near private drive,02-Thru lane,01-Clear,01-Daylight,MIDBLOCK,
11133,15-025244,20150203,PANDORA AVE N btwn PANDORA AVE S & DUKE ST E,04-At/near private drive,02-Thru lane,01-Clear,01-Daylight,MIDBLOCK,
11134,15-161442,20150730,JACK AVE btwn PATRICIA AVE & BELMONT AVE W,04-At/near private drive,02-Thru lane,01-Clear,01-Daylight,MIDBLOCK,
11135,15-138427,20150630,BELMONT AVE W btwn KARN ST & GAGE AVE,01-Non intersection,02-Thru lane,01-Clear,01-Daylight,MIDBLOCK,
11136,15-096402,20150508,BELMONT AVE W btwn HIGHLAND RD W & BURN PL,01-Non intersection,02-Thru lane,01-Clear,01-Daylight,MIDBLOCK,
11137,15-165303,20150804,OTONABEE DR btwn BLEAMS RD & SASAGA DR,04-At/near private drive,02-Thru lane,01-Clear,01-Daylight,MIDBLOCK,
11138,15-174827,20150813,MISTY CRES btwn MISTY ST & MISTY ST,04-At/near private drive,02-Thru lane,01-Clear,01-Daylight,MIDBLOCK,
11139,15-158753,20150726,HOWE DR btwn CUL DE SAC & WINDALE CRES,04-At/near private drive,12-Off highway,01-Clear,01-Daylight,MIDBLOCK,
11140,15-038702,20150221,HOMER WATSON BLVD btwn STIRLING AVE S & HOFFMAN ST,01-Non intersection,02-Thru lane,03-Snow,01-Daylight,MIDBLOCK,
11141,15-120975,20150608,CHERRY HILL DR btwn COACH HILL DR & COACH HILL DR,04-At/near private drive,02-Thru lane,02-Rain,01-Daylight,MIDBLOCK,
11142,15-189700,20150905,QUEEN ST S btwn ST GEORGE ST & COURTLAND AVE E,04-At/near private drive,02-Thru lane,01-Clear,01-Daylight,MIDBLOCK,
11143,15-148834,20150713,MILL ST btwn HEIMAN ST & BORDEN PKY,04-At/near private drive,02-Thru lane,01-Clear,01-Daylight,MIDBLOCK,
11144,15-089994,20150430,MILL ST btwn BORDEN PKY & MILL ST,99-Other,12-Off highway,01-Clear,07-Dark,MIDBLOCK,
11145,15-201587,20150920,MILL ST btwn BORDEN PKY & MILL ST,99-Other,12-Off highway,01-Clear,01-Daylight,MIDBLOCK,
11146,15-227445,20151022,KARN ST btwn WEICHEL ST & WESTMOUNT RD W,04-At/near private drive,09-Right shoulder,01-Clear,01-Daylight,MIDBLOCK,
11147,15-238530,20151106,HURON RD btwn AMAND DR & TRUSSLER RD,04-At/near private drive,02-Thru lane,02-Rain,01-Daylight,MIDBLOCK,
11148,15-246420,20151116,GAGE AVE btwn BELMONT AVE W & WESTMOUNT RD W,01-Non intersection,02-Thru lane,01-Clear,01-Daylight,MIDBLOCK,
11149,15-219716,20151012,QUEEN ST N btwn QUEEN ST S & GOUDIES LANE,01-Non intersection,02-Thru lane,01-Clear,"08-Dark, artificial",MIDBLOCK,
11150,15-108131,20150522,PIONEER DR btwn UPPER CANADA DR & DOON VILLAGE RD,01-Non intersection,09-Right shoulder,01-Clear,07-Dark,MIDBLOCK,
11151,15-225377,20151019,PINEHURST CRES btwn MCGARRY DR & MCGARRY DR,01-Non intersection,02-Thru lane,01-Clear,01-Daylight,MIDBLOCK,
11152,15-256171,20151129,BANKSIDE DR btwn BANKSIDE CRES & WESTFOREST TRAIL,01-Non intersection,09-Right shoulder,01-Clear,07-Dark,MIDBLOCK,
11153,15-270045,20151217,BEASLEY DR btwn HOMER WATSON BLVD & TRILLIUM DR,04-At/near private drive,02-Thru lane,01-Clear,01-Daylight,MIDBLOCK,
11154,15-255366,20151128,TRAYNOR AVE btwn REYBURN AVE & VANIER DR,04-At/near private drive,02-Thru lane,01-Clear,01-Daylight,MIDBLOCK,
11155,15-206070,20150925,BINGEMANS CENTRE DR btwn RIVERBEND DR & SHIRLEY DR,01-Non intersection,11-Not on roadway - right side,01-Clear,"08-Dark, artificial",MIDBLOCK,
11156,15-259132,20151203,UDVARI CRES btwn HIGHBARRY CRES & HIGHBARRY CRES,01-Non intersection,02-Thru lane,02-Rain,01-Daylight,MIDBLOCK,
11157,15-257750,20151201,FAIRWAY RD S btwn KING ST BYPASS OFFRAMP & WABANAKI DR,04-At/near private drive,12-Off highway,01-Clear,07-Dark,MIDBLOCK,
11158,15-273533,20151223,MANCHESTER RD btwn NOTTINGHAM AVE & WEDGEWOOD DR,01-Non intersection,02-Thru lane,01-Clear,01-Daylight,MIDBLOCK,
11159,15-227732,20151023,HOMER WATSON BLVD btwn HOFFMAN ST & C_PKY STR OFFRAMP,01-Non intersection,02-Thru lane,01-Clear,01-Daylight,MIDBLOCK,
11160,16-000325,20160101,HUCK CRES btwn HIGHGATE RD & KELLER CRES,01-Non intersection,02-Thru lane,03-Snow,01-Daylight,MIDBLOCK,
11161,15-257329,20151201,BRIDLEWREATH ST btwn ACTIVA AVE & BRIDLEWREATH CRT,01-Non intersection,02-Thru lane,01-Clear,01-Daylight,MIDBLOCK,
11162,16-057203,20160317,STRASBURG RD btwn MCINTYRE DR & TRILLIUM DR,01-Non intersection,02-Thru lane,01-Clear,01-Daylight,MIDBLOCK,
11163,16-008184,20160112,STRASBURG RD btwn BATTLER RD & HURON RD,04-At/near private drive,02-Thru lane,03-Snow,01-Daylight,MIDBLOCK,
11164,16-018222,20160126,STRASBURG RD btwn BATTLER RD & HURON RD,04-At/near private drive,02-Thru lane,01-Clear,01-Daylight,MIDBLOCK,
11165,16-037030,20160220,KRUG ST btwn BECKER ST & CAMBRIDGE AVE,01-Non intersection,09-Right shoulder,01-Clear,01-Daylight,MIDBLOCK,
11166,16-034069,20160216,KINGSWAY DR btwn CEDARWOODS CRES & GREENFIELD AVE,01-Non intersection,10-Not on roadway - left side,03-Snow,01-Daylight,MIDBLOCK,
11167,16-049293,20160307,DOOLEY DR btwn MIDLAND DR & SIMPSON AVE,04-At/near private drive,02-Thru lane,01-Clear,01-Daylight,MIDBLOCK,
11168,16-061306,20160318,QUEEN ST N btwn ELLEN ST W & ST LEGER ST,04-At/near private drive,02-Thru lane,01-Clear,01-Daylight,MIDBLOCK,
11169,16-051012,20160302,KING ST E btwn BORDEN AVE N & ONWARD AVE,01-Non intersection,02-Thru lane,01-Clear,01-Daylight,MIDBLOCK,
11170,16-030072,20160210,BURGETZ AVE btwn THALER AVE & GRULKE ST,01-Non intersection,11-Not on roadway - right side,03-Snow,01-Daylight,MIDBLOCK,
11171,16-038359,20160221,BELMONT AVE W btwn KARN ST & GAGE AVE,01-Non intersection,11-Not on roadway - right side,01-Clear,"08-Dark, artificial",MIDBLOCK,
11172,16-052531,20160310,ROTHSAY AVE btwn FORFAR AVE & NATCHEZ RD,04-At/near private drive,02-Thru lane,01-Clear,01-Daylight,MIDBLOCK,
11173,16-040179,20160224,BELMONT AVE W btwn GLASGOW ST & BELMONT LANE E,01-Non intersection,02-Thru lane,04-Freezing Rain,01-Daylight,MIDBLOCK,
11174,16-040371,20160224,BRYBECK CRES btwn KARN ST & WESTMOUNT RD W,01-Non intersection,11-Not on roadway - right side,02-Rain,01-Daylight,MIDBLOCK,
11175,16-021336,20160130,DIXON ST btwn PLYMOUTH RD & CARLIN AVE,01-Non intersection,02-Thru lane,01-Clear,01-Daylight,MIDBLOCK,
11176,16-057921,20160316,EBYDALE DR btwn OLDFIELD DR & GRAY ST,01-Non intersection,02-Thru lane,02-Rain,01-Daylight,MIDBLOCK,
11177,16-049296,20160307,BREITHAUPT ST btwn DUKE ST W & WEBER ST W,04-At/near private drive,02-Thru lane,01-Clear,01-Daylight,MIDBLOCK,
11178,16-029901,20160210,DOON VALLEY DR btwn PINNACLE DR & DURHAM ST,01-Non intersection,02-Thru lane,03-Snow,01-Daylight,MIDBLOCK,
11179,16-063095,20160324,GATEWAY PARK DR btwn SPORTSWORLD DR & TU LANE ST,04-At/near private drive,02-Thru lane,02-Rain,07-Dark,MIDBLOCK,
11180,15-173697,20150815,RESURRECTION DR btwn BEECHMANOR CRES & GLASGOW ST,01-Non intersection,02-Thru lane,01-Clear,01-Daylight,MIDBLOCK,
11181,15-262489,20151208,RESURRECTION DR btwn NORTHMANOR CRES & NORTHMANOR CRES,01-Non intersection,11-Not on roadway - right side,01-Clear,01-Daylight,MIDBLOCK,
11182,16-038910,20160221,BRECKENRIDGE DR btwn GIBSON DR & OTTAWA ST N,04-At/near private drive,02-Thru lane,01-Clear,07-Dark,MIDBLOCK,
11183,16-007031,20160110,QUEENS BLVD btwn WARREN RD & KELLY DR,01-Non intersection,10-Not on roadway - left side,03-Snow,01-Daylight,MIDBLOCK,
11184,16-029972,20160210,HURON RD btwn AMAND DR & TRUSSLER RD,04-At/near private drive,02-Thru lane,03-Snow,01-Daylight,MIDBLOCK,
11185,16-043413,20160227,GREENDALE CRES btwn MORGAN AVE & MORGAN AVE,01-Non intersection,02-Thru lane,01-Clear,"08-Dark, artificial",MIDBLOCK,
